,binary,runArg,meanTime,meanL1CacheLoadMisses,meanL1CacheLoads,meanL1CacheLoadMissRate,description
0,matMulStd,10,0.0008631367,2481.5,41652.5,0.05957625592701501,Standard (No Vectorization)
1,matMulVec,10,0.0007681042000000001,2547.3,40782.5,0.062460614234046,Vectorized By Compiler
2,matMulIntr,10,0.0007336569,2495.7,40465.2,0.061675217223688,Vectorized With Intrinsics
3,matMulStd,25,0.0009192188999990001,2672.0,95623.6,0.027942892758691003,Standard (No Vectorization)
4,matMulVec,25,0.000744757299999,2688.0,81368.6,0.033034856197599,Vectorized By Compiler
5,matMulIntr,25,0.0008053419000000001,2658.2,73162.7,0.036332721455058004,Vectorized With Intrinsics
6,matMulStd,50,0.0010272454000000001,3783.2,402510.0,0.009399021142331,Standard (No Vectorization)
7,matMulVec,50,0.0009245468999990001,3894.4,280219.6,0.013897671683208001,Vectorized By Compiler
8,matMulIntr,50,0.000986681599999,3907.6,222547.1,0.017558530306618,Vectorized With Intrinsics
9,matMulStd,100,0.0024294859,127036.3,2505070.4,0.05071166862216701,Standard (No Vectorization)
10,matMulVec,100,0.001810693499999,126608.7,1515490.0,0.083543078476268,Vectorized By Compiler
11,matMulIntr,100,0.001724709299999,127241.5,1065152.6,0.11945847008212701,Vectorized With Intrinsics
12,matMulStd,250,0.016824885,1967104.0,34222424.2,0.057479972444500003,Standard (No Vectorization)
13,matMulVec,250,0.011284508199999,1967608.4,18660677.0,0.10544142637483,Vectorized By Compiler
14,matMulIntr,250,0.010342959300000001,1963721.9,10971104.5,0.178990355984668,Vectorized With Intrinsics
15,matMulStd,500,0.1000595863,15693219.1,261783201.7,0.05994738775478801,Standard (No Vectorization)
16,matMulVec,500,0.067382021,15692926.6,137033731.9,0.114518712892179,Vectorized By Compiler
17,matMulIntr,500,0.059393086799999,15696480.9,75779271.6,0.207134227719338,Vectorized With Intrinsics
18,matMulStd,1000,0.8560053269000001,125677966.6,2047024992.0,0.061395423647079006,Standard (No Vectorization)
19,matMulVec,1000,0.623144568999999,125675620.3,1048020118.4,0.11991718297533001,Vectorized By Compiler
20,matMulIntr,1000,0.5535077449,125850965.6,553025357.8,0.22756816450632503,Vectorized With Intrinsics
21,matMulStd,2500,12.9872426112,3897412875.0,31543698180.1,0.12355599057369701,Standard (No Vectorization)
22,matMulVec,2500,9.9461914566,3899936061.7,15924797601.1,0.244897056740652,Vectorized By Compiler
23,matMulIntr,2500,8.7077530357,3879425524.9,8143651184.3,0.47637422540629804,Vectorized With Intrinsics
24,matMulStd,5000,102.72481102510001,31379295273.9,251174459018.3,0.12493027912369702,Standard (No Vectorization)
25,matMulVec,5000,78.92064558210001,31399404121.2,126198242396.7,0.24881015396788903,Vectorized By Compiler
26,matMulIntr,5000,68.58979294369999,31363413118.8,63823298408.8,0.49141009475742703,Vectorized With Intrinsics
27,matMulStd,7500,347.66017045139995,105836804219.6,846391665417.3,0.125044714573623,Standard (No Vectorization)
28,matMulVec,7500,266.6904401398,105896088191.3,424569761915.1,0.24941976016764802,Vectorized By Compiler
29,matMulIntr,7500,232.1137641034,105812484238.0,213911950457.7,0.49465438472042605,Vectorized With Intrinsics
